The currently activated Python version 2.7.16 is not supported by the project (^3.9).
Trying to find and use a compatible version. 
Using python3 (3.9.6)
id,aggregated_by,aggregate_name,year,start_date,end_date,name,type,registered_users
1,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744103,pincodes,4136
2,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744101,pincodes,3030
3,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744105,pincodes,2994
4,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744102,pincodes,2667
5,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744104,pincodes,756
6,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744202,pincodes,753
7,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744107,pincodes,667
8,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744112,pincodes,585
9,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744211,pincodes,524
10,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,744301,pincodes,488
11,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,south andaman,districts,15961
12,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,north and middle andaman,districts,2013
13,state,andaman-&-nicobar-islands,2019,2019-01-01,2019-03-31,nicobars,districts,622
14,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744103,pincodes,4748
15,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744101,pincodes,3631
16,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744105,pincodes,3547
17,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744102,pincodes,3008
18,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744202,pincodes,885
19,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744104,pincodes,878
20,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744107,pincodes,787
21,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744112,pincodes,672
22,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744211,pincodes,633
23,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,744301,pincodes,534
24,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,south andaman,districts,18621
25,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,north and middle andaman,districts,2417
26,state,andaman-&-nicobar-islands,2019,2019-04-01,2019-06-30,nicobars,districts,693
27,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744103,pincodes,5218
28,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744101,pincodes,4026
29,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744105,pincodes,3920
30,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744102,pincodes,3250
31,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744202,pincodes,982
32,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744104,pincodes,975
33,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744107,pincodes,885
34,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744112,pincodes,765
35,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744211,pincodes,701
36,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,744301,pincodes,575
37,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,south andaman,districts,20518
38,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,north and middle andaman,districts,2662
39,state,andaman-&-nicobar-islands,2019,2019-07-01,2019-09-30,nicobars,districts,751
40,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,744103,pincodes,5637
41,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,744101,pincodes,4321
42,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,744105,pincodes,4277
43,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,744102,pincodes,3485
44,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,744202,pincodes,1087
45,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,744104,pincodes,1062
46,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,744107,pincodes,953
47,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,744112,pincodes,812
48,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,744211,pincodes,783
49,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,744301,pincodes,611
50,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,south andaman,districts,22202
51,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,north and middle andaman,districts,2955
52,state,andaman-&-nicobar-islands,2019,2019-10-01,2019-12-31,nicobars,districts,803
53,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,744103,pincodes,11416
54,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,744105,pincodes,9934
55,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,744101,pincodes,9457
56,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,744102,pincodes,6395
57,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,744202,pincodes,3005
58,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,744107,pincodes,2586
59,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,744104,pincodes,2383
60,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,744112,pincodes,1940
61,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,744211,pincodes,1774
62,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,744205,pincodes,1505
63,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,south andaman,districts,48352
64,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,north and middle andaman,districts,7833
65,state,andaman-&-nicobar-islands,2021,2021-01-01,2021-03-31,nicobars,districts,1573
66,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,744103,pincodes,12268
67,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,744105,pincodes,10668
68,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,744101,pincodes,10120
69,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,744102,pincodes,6837
70,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,744202,pincodes,3261
71,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,744107,pincodes,2783
72,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,744104,pincodes,2573
73,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,744112,pincodes,2083
74,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,744211,pincodes,1904
75,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,744205,pincodes,1626
76,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,south andaman,districts,51903
77,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,north and middle andaman,districts,8493
78,state,andaman-&-nicobar-islands,2021,2021-04-01,2021-06-30,nicobars,districts,1699
79,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,744103,pincodes,6108
80,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,744101,pincodes,4689
81,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,744105,pincodes,4684
82,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,744102,pincodes,3727
83,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,744202,pincodes,1216
84,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,744104,pincodes,1154
85,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,744107,pincodes,1062
86,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,744112,pincodes,889
87,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,744211,pincodes,886
88,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,744301,pincodes,669
89,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,south andaman,districts,24174
90,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,north and middle andaman,districts,3315
91,state,andaman-&-nicobar-islands,2020,2020-01-01,2020-03-31,nicobars,districts,879
92,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,744103,pincodes,6804
93,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,744105,pincodes,5479
94,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,744101,pincodes,5365
95,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,744102,pincodes,4066
96,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,744202,pincodes,1475
97,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,744104,pincodes,1333
98,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,744107,pincodes,1252
99,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,744112,pincodes,1039
100,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,744211,pincodes,1036
101,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,744205,pincodes,806
102,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,south andaman,districts,27626
103,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,north and middle andaman,districts,4100
104,state,andaman-&-nicobar-islands,2020,2020-04-01,2020-06-30,nicobars,districts,984
105,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,744103,pincodes,8318
106,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,744105,pincodes,7007
107,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,744101,pincodes,6881
108,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,744102,pincodes,4919
109,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,744202,pincodes,1965
110,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,744104,pincodes,1718
111,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,744107,pincodes,1710
112,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,744112,pincodes,1372
113,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,744211,pincodes,1279
114,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,744205,pincodes,1008
115,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,south andaman,districts,34833
116,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,north and middle andaman,districts,5355
117,state,andaman-&-nicobar-islands,2020,2020-07-01,2020-09-30,nicobars,districts,1147
118,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,744103,pincodes,10408
119,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,744105,pincodes,8962
120,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,744101,pincodes,8593
121,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,744102,pincodes,5882
122,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,744202,pincodes,2711
123,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,744107,pincodes,2346
124,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,744104,pincodes,2167
125,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,744112,pincodes,1761
126,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,744211,pincodes,1579
127,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,744205,pincodes,1346
128,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,south andaman,districts,43908
129,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,north and middle andaman,districts,7076
130,state,andaman-&-nicobar-islands,2020,2020-10-01,2020-12-31,nicobars,districts,1412
131,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,744103,pincodes,1608
132,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,744101,pincodes,1108
133,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,744105,pincodes,1075
134,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,744102,pincodes,1006
135,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,744104,pincodes,272
136,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,744202,pincodes,237
137,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,744112,pincodes,215
138,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,744301,pincodes,207
139,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,744107,pincodes,196
140,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,744211,pincodes,156
141,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,south andaman,districts,5846
142,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,north and middle andaman,districts,632
143,state,andaman-&-nicobar-islands,2018,2018-01-01,2018-03-31,nicobars,districts,262
144,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,744103,pincodes,2188
145,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,744101,pincodes,1521
146,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,744105,pincodes,1492
147,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,744102,pincodes,1419
148,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,744104,pincodes,396
149,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,744202,pincodes,343
150,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,744112,pincodes,299
151,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,744107,pincodes,293
152,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,744301,pincodes,273
153,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,744211,pincodes,240
154,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,south andaman,districts,8143
155,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,north and middle andaman,districts,911
156,state,andaman-&-nicobar-islands,2018,2018-04-01,2018-06-30,nicobars,districts,351
157,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,744103,pincodes,2741
158,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,744101,pincodes,1978
159,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,744105,pincodes,1935
160,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,744102,pincodes,1803
161,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,744104,pincodes,507
162,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,744202,pincodes,446
163,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,744112,pincodes,388
164,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,744107,pincodes,384
165,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,744301,pincodes,372
166,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,744211,pincodes,327
167,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,south andaman,districts,10474
168,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,north and middle andaman,districts,1208
169,state,andaman-&-nicobar-islands,2018,2018-07-01,2018-09-30,nicobars,districts,467
170,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,744103,pincodes,3373
171,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,744101,pincodes,2498
172,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,744105,pincodes,2416
173,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,744102,pincodes,2231
174,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,744104,pincodes,634
175,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,744202,pincodes,554
176,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,744107,pincodes,548
177,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,744112,pincodes,496
178,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,744211,pincodes,433
179,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,744301,pincodes,425
180,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,south andaman,districts,13133
181,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,north and middle andaman,districts,1553
182,state,andaman-&-nicobar-islands,2018,2018-10-01,2018-12-31,nicobars,districts,536
183,state,tamil-nadu,2019,2019-01-01,2019-03-31,600100,pincodes,51245
184,state,tamil-nadu,2019,2019-01-01,2019-03-31,641602,pincodes,49716
185,state,tamil-nadu,2019,2019-01-01,2019-03-31,602105,pincodes,48656
186,state,tamil-nadu,2019,2019-01-01,2019-03-31,635109,pincodes,48062
187,state,tamil-nadu,2019,2019-01-01,2019-03-31,600042,pincodes,41510
188,state,tamil-nadu,2019,2019-01-01,2019-03-31,600056,pincodes,41450
189,state,tamil-nadu,2019,2019-01-01,2019-03-31,635126,pincodes,40399
190,state,tamil-nadu,2019,2019-01-01,2019-03-31,600053,pincodes,39199
191,state,tamil-nadu,2019,2019-01-01,2019-03-31,600119,pincodes,38537
192,state,tamil-nadu,2019,2019-01-01,2019-03-31,600003,pincodes,38221
193,state,tamil-nadu,2019,2019-01-01,2019-03-31,chennai,districts,830586
194,state,tamil-nadu,2019,2019-01-01,2019-03-31,thiruvallur,districts,625908
195,state,tamil-nadu,2019,2019-01-01,2019-03-31,chengalpattu,districts,578045
196,state,tamil-nadu,2019,2019-01-01,2019-03-31,coimbatore,districts,495350
197,state,tamil-nadu,2019,2019-01-01,2019-03-31,kancheepuram,districts,385091
198,state,tamil-nadu,2019,2019-01-01,2019-03-31,tiruppur,districts,273869
199,state,tamil-nadu,2019,2019-01-01,2019-03-31,salem,districts,257624
200,state,tamil-nadu,2019,2019-01-01,2019-03-31,madurai,districts,224783
201,state,tamil-nadu,2019,2019-01-01,2019-03-31,krishnagiri,districts,212859
202,state,tamil-nadu,2019,2019-01-01,2019-03-31,tiruchirappalli,districts,193798
203,state,tamil-nadu,2019,2019-04-01,2019-06-30,600100,pincodes,59144
204,state,tamil-nadu,2019,2019-04-01,2019-06-30,641602,pincodes,58046
205,state,tamil-nadu,2019,2019-04-01,2019-06-30,635109,pincodes,56022
206,state,tamil-nadu,2019,2019-04-01,2019-06-30,602105,pincodes,55771
207,state,tamil-nadu,2019,2019-04-01,2019-06-30,600003,pincodes,51153
208,state,tamil-nadu,2019,2019-04-01,2019-06-30,600056,pincodes,48134
209,state,tamil-nadu,2019,2019-04-01,2019-06-30,635126,pincodes,47157
210,state,tamil-nadu,2019,2019-04-01,2019-06-30,600042,pincodes,47069
211,state,tamil-nadu,2019,2019-04-01,2019-06-30,600053,pincodes,45586
212,state,tamil-nadu,2019,2019-04-01,2019-06-30,600116,pincodes,43913
213,state,tamil-nadu,2019,2019-04-01,2019-06-30,chennai,districts,969955
214,state,tamil-nadu,2019,2019-04-01,2019-06-30,thiruvallur,districts,733978
215,state,tamil-nadu,2019,2019-04-01,2019-06-30,chengalpattu,districts,667137
216,state,tamil-nadu,2019,2019-04-01,2019-06-30,coimbatore,districts,584160
217,state,tamil-nadu,2019,2019-04-01,2019-06-30,kancheepuram,districts,447527
218,state,tamil-nadu,2019,2019-04-01,2019-06-30,tiruppur,districts,324350
219,state,tamil-nadu,2019,2019-04-01,2019-06-30,salem,districts,302033
220,state,tamil-nadu,2019,2019-04-01,2019-06-30,madurai,districts,268420
221,state,tamil-nadu,2019,2019-04-01,2019-06-30,krishnagiri,districts,252986
222,state,tamil-nadu,2019,2019-04-01,2019-06-30,tiruchirappalli,districts,229886
223,state,tamil-nadu,2019,2019-07-01,2019-09-30,641602,pincodes,66075
224,state,tamil-nadu,2019,2019-07-01,2019-09-30,600100,pincodes,65467
225,state,tamil-nadu,2019,2019-07-01,2019-09-30,635109,pincodes,63628
226,state,tamil-nadu,2019,2019-07-01,2019-09-30,602105,pincodes,62631
227,state,tamil-nadu,2019,2019-07-01,2019-09-30,600003,pincodes,60506
228,state,tamil-nadu,2019,2019-07-01,2019-09-30,600056,pincodes,54402
229,state,tamil-nadu,2019,2019-07-01,2019-09-30,635126,pincodes,53597
230,state,tamil-nadu,2019,2019-07-01,2019-09-30,600042,pincodes,51880
231,state,tamil-nadu,2019,2019-07-01,2019-09-30,600053,pincodes,50908
232,state,tamil-nadu,2019,2019-07-01,2019-09-30,600116,pincodes,49401
233,state,tamil-nadu,2019,2019-07-01,2019-09-30,chennai,districts,1090190
234,state,tamil-nadu,2019,2019-07-01,2019-09-30,thiruvallur,districts,828137
235,state,tamil-nadu,2019,2019-07-01,2019-09-30,chengalpattu,districts,744424
236,state,tamil-nadu,2019,2019-07-01,2019-09-30,coimbatore,districts,669547
237,state,tamil-nadu,2019,2019-07-01,2019-09-30,kancheepuram,districts,503192
238,state,tamil-nadu,2019,2019-07-01,2019-09-30,tiruppur,districts,371296
239,state,tamil-nadu,2019,2019-07-01,2019-09-30,salem,districts,342259
240,state,tamil-nadu,2019,2019-07-01,2019-09-30,madurai,districts,305793
241,state,tamil-nadu,2019,2019-07-01,2019-09-30,krishnagiri,districts,290478
242,state,tamil-nadu,2019,2019-07-01,2019-09-30,tiruchirappalli,districts,261919
243,state,tamil-nadu,2019,2019-10-01,2019-12-31,641602,pincodes,75544
244,state,tamil-nadu,2019,2019-10-01,2019-12-31,600100,pincodes,72286
245,state,tamil-nadu,2019,2019-10-01,2019-12-31,635109,pincodes,72159
246,state,tamil-nadu,2019,2019-10-01,2019-12-31,602105,pincodes,70089
247,state,tamil-nadu,2019,2019-10-01,2019-12-31,600003,pincodes,67897
248,state,tamil-nadu,2019,2019-10-01,2019-12-31,600056,pincodes,60936
249,state,tamil-nadu,2019,2019-10-01,2019-12-31,635126,pincodes,60812
250,state,tamil-nadu,2019,2019-10-01,2019-12-31,600042,pincodes,56848
251,state,tamil-nadu,2019,2019-10-01,2019-12-31,600053,pincodes,56622
252,state,tamil-nadu,2019,2019-10-01,2019-12-31,600116,pincodes,55253
253,state,tamil-nadu,2019,2019-10-01,2019-12-31,chennai,districts,1216610
254,state,tamil-nadu,2019,2019-10-01,2019-12-31,thiruvallur,districts,934744
255,state,tamil-nadu,2019,2019-10-01,2019-12-31,chengalpattu,districts,829575
256,state,tamil-nadu,2019,2019-10-01,2019-12-31,coimbatore,districts,767480
257,state,tamil-nadu,2019,2019-10-01,2019-12-31,kancheepuram,districts,564806
258,state,tamil-nadu,2019,2019-10-01,2019-12-31,tiruppur,districts,427694
259,state,tamil-nadu,2019,2019-10-01,2019-12-31,salem,districts,390301
260,state,tamil-nadu,2019,2019-10-01,2019-12-31,madurai,districts,351234
261,state,tamil-nadu,2019,2019-10-01,2019-12-31,krishnagiri,districts,335178
262,state,tamil-nadu,2019,2019-10-01,2019-12-31,tiruchirappalli,districts,299366
263,state,tamil-nadu,2021,2021-01-01,2021-03-31,641602,pincodes,132560
264,state,tamil-nadu,2021,2021-01-01,2021-03-31,635109,pincodes,119256
265,state,tamil-nadu,2021,2021-01-01,2021-03-31,602105,pincodes,109002
266,state,tamil-nadu,2021,2021-01-01,2021-03-31,600100,pincodes,105601
267,state,tamil-nadu,2021,2021-01-01,2021-03-31,635126,pincodes,97362
268,state,tamil-nadu,2021,2021-01-01,2021-03-31,600056,pincodes,94311
269,state,tamil-nadu,2021,2021-01-01,2021-03-31,600003,pincodes,93539
270,state,tamil-nadu,2021,2021-01-01,2021-03-31,600053,pincodes,88146
271,state,tamil-nadu,2021,2021-01-01,2021-03-31,600116,pincodes,85493
272,state,tamil-nadu,2021,2021-01-01,2021-03-31,600042,pincodes,80853
273,state,tamil-nadu,2021,2021-01-01,2021-03-31,chennai,districts,1865001
274,state,tamil-nadu,2021,2021-01-01,2021-03-31,thiruvallur,districts,1522407
275,state,tamil-nadu,2021,2021-01-01,2021-03-31,coimbatore,districts,1304141
276,state,tamil-nadu,2021,2021-01-01,2021-03-31,chengalpattu,districts,1259678
277,state,tamil-nadu,2021,2021-01-01,2021-03-31,kancheepuram,districts,895950
278,state,tamil-nadu,2021,2021-01-01,2021-03-31,tiruppur,districts,772074
279,state,tamil-nadu,2021,2021-01-01,2021-03-31,salem,districts,693137
280,state,tamil-nadu,2021,2021-01-01,2021-03-31,madurai,districts,630685
281,state,tamil-nadu,2021,2021-01-01,2021-03-31,krishnagiri,districts,592655
282,state,tamil-nadu,2021,2021-01-01,2021-03-31,tiruchirappalli,districts,527667
283,state,tamil-nadu,2021,2021-04-01,2021-06-30,641602,pincodes,141899
284,state,tamil-nadu,2021,2021-04-01,2021-06-30,635109,pincodes,127444
285,state,tamil-nadu,2021,2021-04-01,2021-06-30,602105,pincodes,116613
286,state,tamil-nadu,2021,2021-04-01,2021-06-30,600100,pincodes,112485
287,state,tamil-nadu,2021,2021-04-01,2021-06-30,635126,pincodes,103999
288,state,tamil-nadu,2021,2021-04-01,2021-06-30,600056,pincodes,100579
289,state,tamil-nadu,2021,2021-04-01,2021-06-30,600003,pincodes,99585
290,state,tamil-nadu,2021,2021-04-01,2021-06-30,600053,pincodes,94042
291,state,tamil-nadu,2021,2021-04-01,2021-06-30,600116,pincodes,91189
292,state,tamil-nadu,2021,2021-04-01,2021-06-30,600042,pincodes,86035
293,state,tamil-nadu,2021,2021-04-01,2021-06-30,chennai,districts,1988355
294,state,tamil-nadu,2021,2021-04-01,2021-06-30,thiruvallur,districts,1626966
295,state,tamil-nadu,2021,2021-04-01,2021-06-30,coimbatore,districts,1393621
296,state,tamil-nadu,2021,2021-04-01,2021-06-30,chengalpattu,districts,1344163
297,state,tamil-nadu,2021,2021-04-01,2021-06-30,kancheepuram,districts,957182
298,state,tamil-nadu,2021,2021-04-01,2021-06-30,tiruppur,districts,828168
299,state,tamil-nadu,2021,2021-04-01,2021-06-30,salem,districts,742566
300,state,tamil-nadu,2021,2021-04-01,2021-06-30,madurai,districts,675035
301,state,tamil-nadu,2021,2021-04-01,2021-06-30,krishnagiri,districts,635191
302,state,tamil-nadu,2021,2021-04-01,2021-06-30,tiruchirappalli,districts,565156
303,state,tamil-nadu,2020,2020-01-01,2020-03-31,641602,pincodes,85509
304,state,tamil-nadu,2020,2020-01-01,2020-03-31,635109,pincodes,80309
305,state,tamil-nadu,2020,2020-01-01,2020-03-31,600100,pincodes,78806
306,state,tamil-nadu,2020,2020-01-01,2020-03-31,602105,pincodes,77276
307,state,tamil-nadu,2020,2020-01-01,2020-03-31,600003,pincodes,74485
308,state,tamil-nadu,2020,2020-01-01,2020-03-31,635126,pincodes,67464
309,state,tamil-nadu,2020,2020-01-01,2020-03-31,600056,pincodes,67263
310,state,tamil-nadu,2020,2020-01-01,2020-03-31,600053,pincodes,62400
311,state,tamil-nadu,2020,2020-01-01,2020-03-31,600042,pincodes,61417
312,state,tamil-nadu,2020,2020-01-01,2020-03-31,600116,pincodes,60816
313,state,tamil-nadu,2020,2020-01-01,2020-03-31,chennai,districts,1340762
314,state,tamil-nadu,2020,2020-01-01,2020-03-31,thiruvallur,districts,1041642
315,state,tamil-nadu,2020,2020-01-01,2020-03-31,chengalpattu,districts,912587
316,state,tamil-nadu,2020,2020-01-01,2020-03-31,coimbatore,districts,868832
317,state,tamil-nadu,2020,2020-01-01,2020-03-31,kancheepuram,districts,626872
318,state,tamil-nadu,2020,2020-01-01,2020-03-31,tiruppur,districts,488697
